hazard_exposure,vulnerability,population,accessibility,risk_score,risk_level,priority
26.8,Moderate,618,Good,28.8,Low,Monitor
42.1,Very High,730,Moderate,49.69,Moderate,Medium-Term
24.7,Very High,4964,Poor,64.88,High,Short-Term
10.7,High,155,Moderate,31.69,Low,Monitor
62.0,High,3706,Moderate,65.41,High,Short-Term
82.4,Moderate,2561,Moderate,63.23,High,Short-Term
69.5,Very High,2673,Good,73.95,High,Short-Term
96.9,High,4122,Poor,90.16,Critical,Immediate
32.6,High,3318,Moderate,48.5,Moderate,Medium-Term
56.4,Moderate,4606,Good,63.41,High,Short-Term
46.2,Moderate,3691,Moderate,58.73,Moderate,Medium-Term
6.9,Very High,4190,Good,52.8,Moderate,Medium-Term
24.2,Moderate,3566,Moderate,38.41,Low,Monitor
99.1,Very High,4869,Moderate,90.71,Critical,Immediate
92.3,Very High,4553,Good,86.67,Critical,Immediate
36.0,Low,995,Good,29.6,Low,Monitor
35.5,Low,4713,Poor,54.37,Moderate,Medium-Term
40.0,High,3626,Good,46.17,Moderate,Medium-Term
25.9,Moderate,3751,Moderate,44.83,Moderate,Medium-Term
77.2,Moderate,2925,Good,56.44,Moderate,Medium-Term
29.5,Low,1050,Poor,29.04,Low,Monitor
31.2,Very High,1794,Poor,59.08,Moderate,Medium-Term
47.6,Very High,3806,Moderate,60.95,High,Short-Term
4.5,Low,285,Moderate,20.08,Low,Monitor
67.7,Moderate,2098,Poor,54.63,Moderate,Medium-Term
16.0,Very High,3885,Good,57.4,Moderate,Medium-Term
63.0,Moderate,3640,Moderate,51.58,Moderate,Medium-Term
61.4,Moderate,3782,Poor,63.24,High,Short-Term
0.4,Moderate,1785,Moderate,33.82,Low,Monitor
80.9,Low,4829,Good,62.92,High,Short-Term
53.7,High,2770,Good,54.7,Moderate,Medium-Term
26.2,Very High,4423,Poor,65.12,High,Short-Term
38.9,Very High,4908,Good,62.32,High,Short-Term
84.6,Moderate,2536,Poor,68.94,High,Short-Term
67.2,High,1065,Good,50.17,Moderate,Medium-Term
18.3,Moderate,4284,Moderate,44.73,Moderate,Medium-Term
13.8,Very High,3565,Good,50.38,Moderate,Medium-Term
53.7,Moderate,4645,Good,55.21,Moderate,Medium-Term
14.0,High,3794,Poor,48.19,Moderate,Medium-Term
35.9,Low,4069,Good,34.46,Low,Monitor
38.4,Very High,3451,Poor,68.36,High,Short-Term
71.0,Very High,4103,Good,66.08,High,Short-Term
3.1,Moderate,2492,Good,25.45,Low,Monitor
53.8,Moderate,3846,Poor,65.84,High,Short-Term
76.6,Low,4791,Good,52.76,Moderate,Medium-Term
54.3,High,4540,Good,66.82,High,Short-Term
44.1,Moderate,3582,Good,51.54,Moderate,Medium-Term
65.4,Moderate,2538,Good,50.24,Moderate,Medium-Term
34.9,Low,3696,Good,41.91,Moderate,Medium-Term
23.7,High,3607,Good,50.08,Moderate,Medium-Term
78.5,Moderate,586,Poor,55.18,Moderate,Medium-Term
28.1,Moderate,2751,Poor,45.27,Moderate,Medium-Term
57.3,Low,1210,Moderate,46.59,Moderate,Medium-Term
99.2,Moderate,1187,Good,51.81,Moderate,Medium-Term
32.2,Moderate,3317,Moderate,41.31,Moderate,Medium-Term
63.2,Very High,3173,Moderate,64.02,High,Short-Term
79.5,Low,3400,Poor,65.68,High,Short-Term
69.5,High,3824,Moderate,66.86,High,Short-Term
0.2,Low,3855,Poor,38.37,Low,Monitor
35.8,Low,4478,Moderate,40.93,Moderate,Medium-Term
43.0,Moderate,4152,Moderate,51.33,Moderate,Medium-Term
28.4,Moderate,4737,Moderate,56.0,Moderate,Medium-Term
89.4,Low,476,Good,45.71,Moderate,Medium-Term
83.7,Low,1117,Good,43.32,Moderate,Medium-Term
0.1,Very High,1757,Poor,54.86,Moderate,Medium-Term
88.2,High,1402,Moderate,59.97,Moderate,Medium-Term
36.0,Low,3146,Poor,51.89,Moderate,Medium-Term
16.6,Very High,2602,Poor,60.66,High,Short-Term
23.4,Low,879,Good,17.62,Low,Monitor
7.8,Moderate,4355,Poor,47.02,Moderate,Medium-Term
0.8,High,1087,Moderate,37.73,Low,Monitor
47.8,Moderate,3238,Good,51.37,Moderate,Medium-Term
10.2,High,3111,Moderate,40.2,Moderate,Medium-Term
77.3,Moderate,1270,Good,50.62,Moderate,Medium-Term
0.8,Moderate,3705,Moderate,41.16,Moderate,Medium-Term
62.8,Moderate,3472,Poor,66.61,High,Short-Term
86.0,Low,923,Good,48.33,Moderate,Medium-Term
59.0,Very High,2979,Moderate,65.6,High,Short-Term
14.0,High,790,Good,34.41,Low,Monitor
60.0,High,319,Poor,63.54,High,Short-Term
20.5,Moderate,3309,Moderate,45.25,Moderate,Medium-Term
78.4,Moderate,4154,Moderate,60.36,High,Short-Term
50.0,Low,4427,Good,53.5,Moderate,Medium-Term
93.4,Moderate,3268,Poor,72.24,High,Short-Term
54.6,Moderate,3958,Good,45.21,Moderate,Medium-Term
6.8,High,1867,Good,42.11,Moderate,Medium-Term
94.9,Very High,4250,Moderate,88.28,Critical,Immediate
50.1,Very High,3569,Poor,71.5,High,Short-Term
64.1,Moderate,2373,Good,46.89,Moderate,Medium-Term
51.1,Moderate,1372,Poor,48.35,Moderate,Medium-Term
58.6,Low,2640,Poor,50.32,Moderate,Medium-Term
95.3,Moderate,574,Good,47.03,Moderate,Medium-Term
43.4,Very High,550,Moderate,56.05,Moderate,Medium-Term
65.8,Moderate,1078,Good,48.67,Moderate,Medium-Term
70.1,Moderate,4166,Moderate,64.07,High,Short-Term
78.3,High,1467,Moderate,57.3,Moderate,Medium-Term
78.1,High,1067,Good,54.46,Moderate,Medium-Term
42.9,Low,2254,Poor,51.88,Moderate,Medium-Term
62.8,Very High,3828,Poor,76.3,High,Short-Term
50.0,Moderate,3112,Good,44.03,Moderate,Medium-Term
10.3,Low,1971,Poor,31.88,Low,Monitor
4.4,Low,2103,Good,20.0,Low,Monitor
38.3,Moderate,1566,Good,38.52,Low,Monitor
91.4,Very High,1939,Moderate,71.72,High,Short-Term
91.6,High,2322,Good,67.99,High,Short-Term
11.9,Low,1569,Good,25.81,Low,Monitor
98.1,Very High,664,Moderate,78.85,High,Short-Term
77.4,High,2781,Good,64.56,High,Short-Term
0.8,Moderate,2488,Poor,42.53,Moderate,Medium-Term
74.0,Moderate,3900,Moderate,65.47,High,Short-Term
49.3,Moderate,4577,Good,47.97,Moderate,Medium-Term
93.2,Low,2008,Poor,58.44,Moderate,Medium-Term
84.0,Low,2844,Good,55.42,Moderate,Medium-Term
37.6,High,951,Good,42.94,Moderate,Medium-Term
23.8,Very High,590,Good,45.58,Moderate,Medium-Term
9.3,Moderate,4357,Moderate,46.39,Moderate,Medium-Term
37.2,Low,4857,Good,43.04,Moderate,Medium-Term
63.7,Very High,713,Poor,67.49,High,Short-Term
43.5,Moderate,2039,Moderate,42.06,Moderate,Medium-Term
31.5,Very High,2772,Moderate,57.35,Moderate,Medium-Term
23.4,Moderate,1215,Poor,34.54,Low,Monitor
10.6,Very High,3917,Moderate,53.88,Moderate,Medium-Term
53.6,Moderate,3802,Moderate,55.88,Moderate,Medium-Term
85.2,Low,1391,Poor,52.5,Moderate,Medium-Term
70.5,Low,1861,Moderate,41.49,Moderate,Medium-Term
71.1,High,3346,Poor,66.3,High,Short-Term
29.9,Moderate,354,Moderate,40.05,Moderate,Medium-Term
55.6,Moderate,875,Moderate,39.09,Low,Monitor
79.4,Low,197,Good,44.37,Moderate,Medium-Term
98.3,Moderate,1723,Moderate,61.76,High,Short-Term
63.0,Low,4870,Poor,57.92,Moderate,Medium-Term
81.3,Low,628,Good,47.91,Moderate,Medium-Term
44.3,Moderate,853,Moderate,35.38,Low,Monitor
94.2,Low,1476,Poor,58.05,Moderate,Medium-Term
72.4,Very High,341,Moderate,65.63,High,Short-Term
17.3,Moderate,1633,Moderate,31.57,Low,Monitor
88.3,Low,2113,Poor,56.33,Moderate,Medium-Term
41.2,Very High,599,Good,44.8,Moderate,Medium-Term
13.7,Moderate,4407,Good,42.51,Moderate,Medium-Term
80.2,Low,3233,Poor,59.0,Moderate,Medium-Term
54.5,Very High,2918,Poor,72.04,High,Short-Term
38.8,Moderate,313,Moderate,38.88,Low,Monitor
2.9,High,579,Moderate,33.8,Low,Monitor
76.7,Moderate,1407,Good,46.44,Moderate,Medium-Term
24.1,Low,1897,Poor,41.81,Moderate,Medium-Term
79.7,High,1523,Good,55.27,Moderate,Medium-Term
31.8,High,4946,Good,59.67,Moderate,Medium-Term
35.2,Moderate,4712,Good,54.56,Moderate,Medium-Term
81.0,Very High,4541,Moderate,77.32,High,Short-Term
3.8,Low,2005,Poor,25.1,Low,Monitor
52.6,Low,2817,Poor,45.15,Moderate,Medium-Term
13.0,Moderate,2750,Good,25.9,Low,Monitor
58.7,Moderate,1008,Poor,58.1,Moderate,Medium-Term
96.1,High,3340,Poor,75.87,High,Short-Term
30.2,Moderate,1390,Poor,51.06,Moderate,Medium-Term
79.2,Very High,2699,Good,73.33,High,Short-Term
56.2,High,1928,Poor,64.05,High,Short-Term
17.5,High,2512,Good,36.51,Low,Monitor
0.2,Very High,4748,Good,45.47,Moderate,Medium-Term
31.8,Moderate,4732,Good,55.05,Moderate,Medium-Term
14.1,Low,2049,Moderate,35.85,Low,Monitor
16.8,Low,2850,Moderate,24.46,Low,Monitor
21.0,Low,2971,Moderate,38.82,Low,Monitor
72.0,Low,3261,Moderate,56.96,Moderate,Medium-Term
96.9,Very High,4139,Moderate,84.09,Critical,Immediate
37.5,Very High,4835,Poor,77.85,High,Short-Term
22.6,Very High,703,Good,38.94,Low,Monitor
31.9,Low,707,Moderate,23.71,Low,Monitor
37.5,Low,4581,Good,39.36,Low,Monitor
98.5,Very High,353,Moderate,78.97,High,Short-Term
16.5,Very High,1386,Good,36.44,Low,Monitor
20.6,Moderate,3452,Poor,49.64,Moderate,Medium-Term
92.6,High,2406,Moderate,67.83,High,Short-Term
5.0,Very High,1358,Good,36.45,Low,Monitor
42.8,High,4034,Good,50.17,Moderate,Medium-Term
20.7,High,771,Moderate,45.83,Moderate,Medium-Term
30.8,Very High,3957,Moderate,68.93,High,Short-Term
26.5,Very High,1614,Moderate,57.9,Moderate,Medium-Term
36.9,Very High,465,Moderate,49.81,Moderate,Medium-Term
26.3,High,4722,Good,48.01,Moderate,Medium-Term
69.6,Low,802,Poor,45.32,Moderate,Medium-Term
54.1,Moderate,4635,Good,60.93,High,Short-Term
81.8,Very High,4486,Poor,93.69,Critical,Immediate
47.5,Moderate,4001,Moderate,48.39,Moderate,Medium-Term
90.3,Low,4213,Poor,75.12,High,Short-Term
80.0,Moderate,1085,Moderate,49.61,Moderate,Medium-Term
98.4,Moderate,1678,Good,51.83,Moderate,Medium-Term
7.8,Very High,1754,Poor,45.37,Moderate,Medium-Term
59.5,High,648,Good,47.13,Moderate,Medium-Term
39.7,High,2362,Poor,57.92,Moderate,Medium-Term
87.3,Very High,1021,Moderate,65.03,High,Short-Term
56.7,Low,965,Poor,48.42,Moderate,Medium-Term
78.6,High,3466,Moderate,69.5,High,Short-Term
48.6,Very High,406,Good,46.54,Moderate,Medium-Term
14.4,Very High,417,Moderate,48.94,Moderate,Medium-Term
33.1,Moderate,503,Poor,40.95,Moderate,Medium-Term
26.9,High,265,Moderate,45.56,Moderate,Medium-Term
30.3,High,4127,Poor,65.32,High,Short-Term
97.2,Moderate,1200,Moderate,68.91,High,Short-Term
44.3,High,2307,Poor,58.65,Moderate,Medium-Term
64.6,Moderate,3718,Good,62.09,High,Short-Term
40.7,Very High,4331,Moderate,72.71,High,Short-Term
51.5,Moderate,637,Moderate,46.42,Moderate,Medium-Term
40.3,Low,1523,Good,36.7,Low,Monitor
20.1,Low,2143,Good,25.41,Low,Monitor
91.8,Moderate,2344,Moderate,69.19,High,Short-Term
50.5,Low,350,Good,27.53,Low,Monitor
59.4,Moderate,3987,Poor,65.31,High,Short-Term
34.4,High,840,Moderate,37.84,Low,Monitor
5.0,Moderate,1913,Poor,32.75,Low,Monitor
20.7,Very High,4304,Good,61.79,High,Short-Term
96.7,Low,3983,Good,62.64,High,Short-Term
60.1,Low,1933,Moderate,45.5,Moderate,Medium-Term
94.3,High,3571,Moderate,82.92,Critical,Immediate
45.9,Moderate,3923,Moderate,57.1,Moderate,Medium-Term
82.4,Very High,4888,Good,72.01,High,Short-Term
99.9,High,4699,Poor,90.51,Critical,Immediate
28.3,Low,4046,Good,33.97,Low,Monitor
27.6,High,2368,Moderate,51.63,Moderate,Medium-Term
95.2,High,1643,Good,65.67,High,Short-Term
24.0,Low,3410,Poor,39.4,Low,Monitor
14.0,Low,4174,Moderate,32.75,Low,Monitor
41.9,Very High,389,Poor,60.8,High,Short-Term
57.2,Moderate,2911,Poor,62.82,High,Short-Term
68.6,Very High,3036,Poor,74.2,High,Short-Term
17.0,Moderate,2506,Good,33.5,Low,Monitor
74.1,Moderate,2849,Poor,58.51,Moderate,Medium-Term
35.5,High,3544,Moderate,54.55,Moderate,Medium-Term
58.6,Very High,1064,Moderate,53.63,Moderate,Medium-Term
63.4,Low,3968,Good,48.57,Moderate,Medium-Term
86.7,Very High,4440,Moderate,82.72,Critical,Immediate
87.1,Moderate,1225,Good,50.86,Moderate,Medium-Term
98.7,Very High,1273,Moderate,81.44,Critical,Immediate
18.0,Low,4094,Moderate,39.78,Low,Monitor
17.7,Low,138,Moderate,18.13,Low,Monitor
76.1,Moderate,4820,Good,63.74,High,Short-Term
76.4,Low,1160,Poor,50.57,Moderate,Medium-Term
42.9,Very High,4010,Moderate,59.13,Moderate,Medium-Term
53.4,High,215,Moderate,53.66,Moderate,Medium-Term
53.1,Low,133,Poor,43.11,Moderate,Medium-Term
22.6,High,2656,Good,37.67,Low,Monitor
50.3,High,1468,Good,54.16,Moderate,Medium-Term
29.8,High,3834,Poor,61.34,High,Short-Term
52.4,Very High,1196,Moderate,67.06,High,Short-Term
49.0,Moderate,1450,Moderate,37.76,Low,Monitor
22.4,Moderate,1830,Poor,35.26,Low,Monitor
50.5,Low,3103,Poor,52.75,Moderate,Medium-Term
3.7,High,4480,Poor,47.25,Moderate,Medium-Term
99.5,Low,261,Good,49.41,Moderate,Medium-Term
41.7,Very High,1112,Poor,56.33,Moderate,Medium-Term
70.2,Moderate,176,Moderate,46.5,Moderate,Medium-Term
10.1,High,1223,Moderate,43.72,Moderate,Medium-Term
10.5,Low,2415,Good,28.4,Low,Monitor
49.8,Moderate,2254,Poor,61.77,High,Short-Term
35.8,Very High,2519,Good,46.74,Moderate,Medium-Term
49.6,Moderate,4037,Moderate,51.76,Moderate,Medium-Term
1.3,Low,1004,Poor,27.42,Low,Monitor
14.9,Low,4291,Good,36.46,Low,Monitor
10.1,High,1993,Moderate,49.33,Moderate,Medium-Term
29.6,Very High,510,Good,48.91,Moderate,Medium-Term
87.4,High,3050,Poor,75.04,High,Short-Term
73.9,Low,475,Good,43.9,Moderate,Medium-Term
66.3,Moderate,2792,Moderate,63.18,High,Short-Term
95.5,High,861,Moderate,71.91,High,Short-Term
18.3,Very High,3378,Moderate,52.27,Moderate,Medium-Term
38.6,Very High,3554,Poor,75.16,High,Short-Term
16.7,Moderate,580,Good,19.82,Low,Monitor
91.1,Very High,4760,Poor,91.18,Critical,Immediate
61.1,High,336,Poor,64.06,High,Short-Term
72.7,Moderate,4057,Moderate,57.98,Moderate,Medium-Term
41.1,Low,618,Moderate,34.34,Low,Monitor
1.2,Moderate,2871,Poor,40.02,Moderate,Medium-Term
70.1,Low,3645,Poor,62.99,High,Short-Term
48.2,Very High,1317,Poor,69.66,High,Short-Term
61.3,Low,1385,Poor,52.82,Moderate,Medium-Term
85.2,Moderate,713,Moderate,52.3,Moderate,Medium-Term
33.1,High,512,Poor,44.44,Moderate,Medium-Term
64.3,Very High,2025,Good,61.45,High,Short-Term
80.1,Very High,821,Moderate,66.47,High,Short-Term
11.9,Very High,245,Good,35.1,Low,Monitor
3.6,Low,844,Poor,32.3,Low,Monitor
63.8,Moderate,3837,Moderate,57.99,Moderate,Medium-Term
5.4,Moderate,3822,Moderate,40.64,Moderate,Medium-Term
62.0,Very High,3076,Poor,74.49,High,Short-Term
9.7,Moderate,117,Moderate,24.04,Low,Monitor
63.4,High,4586,Poor,73.76,High,Short-Term
10.6,Moderate,4133,Good,43.39,Moderate,Medium-Term
74.3,Very High,976,Moderate,67.68,High,Short-Term
18.8,Very High,1866,Moderate,55.23,Moderate,Medium-Term
19.1,High,982,Moderate,33.35,Low,Monitor
63.3,Low,3790,Moderate,54.85,Moderate,Medium-Term
95.6,Moderate,4186,Good,68.69,High,Short-Term
4.9,Very High,4893,Moderate,64.08,High,Short-Term
78.1,Moderate,4839,Good,68.38,High,Short-Term
12.8,Very High,2736,Poor,62.77,High,Short-Term
41.9,Moderate,2341,Moderate,53.95,Moderate,Medium-Term
97.0,Very High,1192,Good,68.82,High,Short-Term
70.0,High,4587,Moderate,76.24,High,Short-Term
93.6,Moderate,1745,Good,59.73,Moderate,Medium-Term
29.1,High,1186,Poor,52.58,Moderate,Medium-Term
95.8,High,1045,Moderate,68.71,High,Short-Term
58.3,Very High,4473,Moderate,80.34,Critical,Immediate
42.2,Low,4382,Good,35.2,Low,Monitor
14.5,Low,1737,Moderate,31.02,Low,Monitor
16.1,High,2152,Good,45.17,Moderate,Medium-Term
69.1,High,1771,Poor,59.04,Moderate,Medium-Term
81.4,Low,4702,Good,61.68,High,Short-Term
56.1,Moderate,4285,Poor,61.13,High,Short-Term
66.4,Very High,3274,Moderate,79.65,High,Short-Term
97.6,High,4623,Good,70.36,High,Short-Term
25.1,Very High,1947,Poor,61.09,High,Short-Term
64.8,Moderate,1685,Moderate,51.1,Moderate,Medium-Term
98.3,Low,1631,Good,55.19,Moderate,Medium-Term
11.9,Low,3610,Moderate,34.52,Low,Monitor
13.0,High,146,Moderate,34.59,Low,Monitor
93.7,Low,1359,Moderate,54.78,Moderate,Medium-Term
77.4,High,4118,Poor,79.61,High,Short-Term
7.3,High,4404,Good,52.98,Moderate,Medium-Term
52.1,Moderate,3507,Poor,60.6,High,Short-Term
9.2,Moderate,1847,Poor,35.67,Low,Monitor
36.1,Moderate,4445,Moderate,60.86,High,Short-Term
82.4,Low,1039,Poor,50.79,Moderate,Medium-Term
24.0,Moderate,426,Poor,44.02,Moderate,Medium-Term
38.1,Low,3261,Moderate,42.02,Moderate,Medium-Term
28.3,High,4313,Poor,61.54,High,Short-Term
4.4,Moderate,2724,Poor,33.51,Low,Monitor
9.6,Low,636,Good,19.13,Low,Monitor
77.4,Very High,951,Good,62.99,High,Short-Term
70.3,Very High,690,Poor,71.59,High,Short-Term
2.4,High,410,Good,21.15,Low,Monitor
17.8,High,4671,Good,51.61,Moderate,Medium-Term
22.8,High,3439,Moderate,50.96,Moderate,Medium-Term
40.4,High,238,Moderate,47.86,Moderate,Medium-Term
53.5,Low,4897,Good,52.02,Moderate,Medium-Term
7.3,Low,2474,Poor,29.52,Low,Monitor
8.7,Very High,3224,Moderate,57.09,Moderate,Medium-Term
3.1,Moderate,4470,Good,31.15,Low,Monitor
39.1,High,1280,Moderate,51.65,Moderate,Medium-Term
91.4,High,191,Poor,74.0,High,Short-Term
14.1,Low,141,Poor,27.3,Low,Monitor
53.7,Low,2596,Good,43.65,Moderate,Medium-Term
90.4,High,1834,Moderate,75.47,High,Short-Term
85.1,Moderate,1418,Good,48.99,Moderate,Medium-Term
83.5,Moderate,1038,Good,54.12,Moderate,Medium-Term
56.7,Low,4596,Moderate,55.54,Moderate,Medium-Term
7.3,Low,2153,Good,16.83,Low,Monitor
58.1,High,3025,Good,60.68,High,Short-Term
23.5,High,671,Good,33.49,Low,Monitor
45.1,High,4885,Good,61.88,High,Short-Term
36.4,High,3608,Good,44.75,Moderate,Medium-Term
24.6,Moderate,3672,Moderate,51.24,Moderate,Medium-Term
13.4,High,4031,Moderate,49.94,Moderate,Medium-Term
77.5,Very High,4619,Good,71.91,High,Short-Term
60.7,High,1246,Poor,56.62,Moderate,Medium-Term
73.4,Low,717,Good,44.65,Moderate,Medium-Term
63.2,Very High,4933,Good,79.85,High,Short-Term
55.2,Very High,1317,Moderate,58.87,Moderate,Medium-Term
89.1,High,1196,Moderate,65.99,High,Short-Term
9.1,High,4213,Good,48.14,Moderate,Medium-Term
84.8,Moderate,4311,Good,64.06,High,Short-Term
17.9,Moderate,4060,Moderate,37.66,Low,Monitor
76.1,Moderate,614,Moderate,49.5,Moderate,Medium-Term
4.3,Moderate,4342,Moderate,39.58,Low,Monitor
91.8,Low,426,Poor,51.27,Moderate,Medium-Term
70.4,High,2257,Poor,69.63,High,Short-Term
17.4,Very High,3092,Poor,62.16,High,Short-Term
83.5,High,3182,Good,67.71,High,Short-Term
35.3,High,4088,Moderate,64.9,High,Short-Term
0.7,Moderate,3703,Good,28.74,Low,Monitor
51.5,High,1832,Good,45.84,Moderate,Medium-Term
36.2,Low,1986,Moderate,40.59,Moderate,Medium-Term
72.0,Very High,4022,Moderate,72.66,High,Short-Term
16.1,Very High,283,Good,30.96,Low,Monitor
57.3,Moderate,1203,Poor,52.82,Moderate,Medium-Term
89.1,Moderate,558,Good,47.55,Moderate,Medium-Term
18.0,Very High,4717,Poor,58.72,Moderate,Medium-Term
72.0,High,802,Good,53.1,Moderate,Medium-Term
99.3,Very High,1497,Good,77.53,High,Short-Term
60.1,Moderate,4284,Moderate,55.35,Moderate,Medium-Term
68.6,Very High,4986,Poor,78.3,High,Short-Term
37.8,Moderate,989,Good,30.43,Low,Monitor
86.0,Very High,1325,Poor,70.19,High,Short-Term
47.6,Low,4453,Poor,58.76,Moderate,Medium-Term
9.3,Moderate,4517,Good,45.67,Moderate,Medium-Term
77.5,Very High,4376,Moderate,78.56,High,Short-Term
4.3,Very High,1979,Moderate,50.05,Moderate,Medium-Term
38.1,Low,3585,Good,34.25,Low,Monitor
76.6,Low,2420,Poor,62.77,High,Short-Term
40.9,Moderate,144,Poor,46.54,Moderate,Medium-Term
0.7,Low,4357,Good,26.17,Low,Monitor
20.5,High,3449,Moderate,44.68,Moderate,Medium-Term
42.6,High,2240,Poor,57.9,Moderate,Medium-Term
36.6,High,3355,Good,50.34,Moderate,Medium-Term
78.4,Very High,1564,Moderate,70.65,High,Short-Term
48.4,High,4832,Moderate,70.66,High,Short-Term
39.8,Moderate,1075,Poor,41.66,Moderate,Medium-Term
78.3,Moderate,921,Good,49.22,Moderate,Medium-Term
78.6,Low,1416,Moderate,55.6,Moderate,Medium-Term
0.5,Low,1290,Moderate,27.15,Low,Monitor
43.5,Low,2255,Good,32.68,Low,Monitor
60.9,Very High,3382,Poor,78.59,High,Short-Term
28.6,Low,1535,Poor,36.31,Low,Monitor
1.1,High,1695,Good,37.21,Low,Monitor
51.1,Moderate,1488,Poor,44.17,Moderate,Medium-Term
23.9,Low,1389,Good,32.37,Low,Monitor
78.0,High,3337,Moderate,72.03,High,Short-Term
51.8,Low,838,Poor,38.28,Low,Monitor
83.0,High,2946,Moderate,66.45,High,Short-Term
96.3,Very High,3409,Poor,80.66,Critical,Immediate
17.5,Low,4676,Good,35.38,Low,Monitor
34.0,Low,4304,Moderate,50.14,Moderate,Medium-Term
81.3,High,3727,Moderate,74.37,High,Short-Term
77.0,High,3858,Poor,77.0,High,Short-Term
58.7,Low,4048,Good,43.37,Moderate,Medium-Term
38.3,Moderate,1983,Moderate,42.44,Moderate,Medium-Term
35.3,Low,2257,Good,28.48,Low,Monitor
39.9,High,722,Poor,59.0,Moderate,Medium-Term
47.7,High,1890,Poor,55.82,Moderate,Medium-Term
94.7,Moderate,4187,Poor,72.83,High,Short-Term
73.5,High,1793,Good,53.64,Moderate,Medium-Term
25.0,High,1377,Good,33.68,Low,Monitor
7.8,Very High,154,Poor,51.93,Moderate,Medium-Term
84.8,High,2683,Moderate,76.78,High,Short-Term
88.1,High,4120,Good,80.56,Critical,Immediate
91.6,High,3359,Good,75.0,High,Short-Term
12.8,Very High,4018,Poor,54.32,Moderate,Medium-Term
34.7,Moderate,3845,Good,48.7,Moderate,Medium-Term
46.0,Low,196,Poor,32.5,Low,Monitor
58.1,High,3062,Poor,73.62,High,Short-Term
18.7,High,2042,Moderate,44.25,Moderate,Medium-Term
61.3,High,1606,Moderate,56.66,Moderate,Medium-Term
41.9,High,3090,Moderate,53.49,Moderate,Medium-Term
18.0,Moderate,4817,Poor,48.98,Moderate,Medium-Term
10.0,High,2031,Poor,45.79,Moderate,Medium-Term
38.1,Moderate,1325,Moderate,46.03,Moderate,Medium-Term
17.7,Very High,1201,Poor,52.52,Moderate,Medium-Term
72.1,Very High,2557,Moderate,72.45,High,Short-Term
56.8,Very High,910,Poor,59.38,Moderate,Medium-Term
21.5,High,4003,Poor,52.33,Moderate,Medium-Term
74.5,High,3057,Moderate,69.27,High,Short-Term
93.2,High,2919,Good,68.39,High,Short-Term
35.1,Moderate,4825,Poor,61.74,High,Short-Term
53.8,High,3009,Moderate,63.64,High,Short-Term
48.7,Very High,742,Moderate,57.83,Moderate,Medium-Term
46.4,Moderate,1472,Poor,54.8,Moderate,Medium-Term
33.7,Very High,684,Good,40.62,Moderate,Medium-Term
22.8,High,2486,Poor,49.45,Moderate,Medium-Term
64.5,High,3744,Moderate,71.52,High,Short-Term
52.1,Very High,3491,Good,58.64,Moderate,Medium-Term
2.3,Moderate,2161,Poor,40.41,Moderate,Medium-Term
8.0,Moderate,3352,Good,27.74,Low,Monitor
93.7,Very High,4592,Good,75.08,High,Short-Term
39.7,Low,951,Moderate,34.59,Low,Monitor
8.4,Very High,2634,Good,40.94,Moderate,Medium-Term
28.4,Moderate,1175,Poor,47.81,Moderate,Medium-Term
2.9,High,2764,Moderate,41.55,Moderate,Medium-Term
87.1,High,4593,Moderate,73.02,High,Short-Term
94.8,Moderate,4940,Poor,79.99,High,Short-Term
74.9,Very High,4388,Poor,87.25,Critical,Immediate
31.0,High,4045,Poor,57.91,Moderate,Medium-Term
9.0,High,3096,Moderate,41.69,Moderate,Medium-Term
30.4,Low,4387,Good,36.19,Low,Monitor
46.9,Low,4129,Moderate,44.72,Moderate,Medium-Term
76.6,High,4990,Good,77.02,High,Short-Term
54.8,Moderate,3472,Poor,59.81,Moderate,Medium-Term
25.0,Very High,3199,Good,49.26,Moderate,Medium-Term
42.2,Moderate,4332,Poor,64.77,High,Short-Term
68.5,High,4457,Moderate,70.41,High,Short-Term
85.3,Moderate,1219,Moderate,51.0,Moderate,Medium-Term
45.5,Very High,2329,Poor,68.45,High,Short-Term
18.8,Low,1346,Good,29.98,Low,Monitor
2.2,Low,2411,Moderate,19.41,Low,Monitor
43.8,Low,2007,Good,28.27,Low,Monitor
49.4,High,3542,Moderate,66.03,High,Short-Term
49.8,High,3898,Poor,72.93,High,Short-Term
33.0,Moderate,559,Moderate,40.7,Moderate,Medium-Term
7.1,Very High,1587,Good,46.66,Moderate,Medium-Term
25.0,Very High,203,Good,48.65,Moderate,Medium-Term
71.5,Very High,3728,Good,75.24,High,Short-Term
3.4,Very High,869,Poor,48.58,Moderate,Medium-Term
20.8,Very High,2656,Moderate,48.44,Moderate,Medium-Term
72.8,Low,2175,Moderate,51.4,Moderate,Medium-Term
19.9,Low,1884,Good,20.78,Low,Monitor
43.4,Low,1471,Moderate,37.43,Low,Monitor
39.6,Moderate,173,Good,33.85,Low,Monitor
69.1,Moderate,3142,Good,50.73,Moderate,Medium-Term
50.0,High,591,Good,43.05,Moderate,Medium-Term
15.4,Low,1130,Moderate,20.63,Low,Monitor
98.2,High,3693,Poor,79.48,High,Short-Term
68.9,High,1203,Moderate,65.31,High,Short-Term
48.5,Very High,4679,Moderate,72.37,High,Short-Term
49.0,Moderate,4553,Moderate,55.04,Moderate,Medium-Term
46.8,Moderate,664,Poor,41.27,Moderate,Medium-Term
